 Location:  5S  95W  24 Apr 1994 to 10 May 2012 ( 6592 times, 11 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200 24 Apr 1994 to 1200 15 Mar 1997 (index     1 to  1057, 1057 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19950601 1200  -3.7   2.4   4.4 303.1 12 55
 19950602 1200  -3.7   3.8   5.3 315.6 12 55
 19950603 1200  -3.5   3.4   4.9 314.3 12 55
 19950604 1200  -2.3   4.3   4.9 331.2 12 55
 19950605 1200  -2.3   5.7   6.1 337.7 12 55
 19950606 1200  -3.4   4.2   5.4 321.0 12 55
 19950607 1200  -5.0   2.0   5.3 291.8 12 55
 19950608 1200  -6.4   1.5   6.6 283.2 12 55
 19950609 1200  -5.8   3.2   6.6 298.7 12 55
 19950610 1200  -4.5   3.6   5.8 308.5 12 55
 19950611 1200  -4.4   1.5   4.6 288.4 12 55
 19950612 1200  -4.0   1.7   4.4 293.3 12 55
 19950613 1200  -3.5   3.1   4.7 311.6 12 55
 19950614 1200  -3.6   4.0   5.4 317.5 12 55
 19950615 1200  -6.2   4.3   7.5 304.9 12 55
 19950616 1200  -6.8   3.6   7.7 297.6 12 55
 19950617 1200  -6.7   2.6   7.2 291.1 12 55
 19950618 1200  -5.5   2.8   6.2 296.4 12 55
 19950619 1200  -4.8   2.8   5.5 300.9 12 55
 19950620 1200  -5.3   3.0   6.1 299.8 12 55
 19950621 1200  -6.9   3.5   7.7 296.6 12 55
 19950622 1200  -6.1   3.1   6.8 297.1 12 55
 19950623 1200  -5.5   1.9   5.8 288.9 12 55
 19950624 1200  -4.7   4.5   6.5 313.5 12 55
 19950625 1200  -5.9   4.5   7.4 307.6 12 55
 19950626 1200  -6.0   3.6   7.0 301.2 12 55
 19950627 1200  -6.2   0.7   6.2 276.2 12 55
 19950628 1200  -5.5   0.3   5.5 273.6 12 55
 19950629 1200  -4.9   1.0   5.0 281.7 12 55
 19950630 1200  -4.9   1.4   5.1 286.4 12 55
 19950701 1200  -5.5   1.2   5.6 282.3 12 55
 19950702 1200  -5.8   1.6   6.0 285.5 12 55
 19950703 1200  -5.2   1.1   5.4 282.3 12 55
 19950704 1200  -4.5   3.2   5.6 305.8 12 55
 19950705 1200  -5.1   3.5   6.2 304.2 12 55
 19950706 1200  -5.9   2.8   6.5 295.4 12 55
 19950707 1200  -6.9   2.9   7.5 292.8 12 55
 19950708 1200  -6.5   2.2   6.8 288.7 12 55
 19950709 1200  -5.8   3.0   6.6 297.6 12 55
 19950710 1200  -3.9   3.2   5.0 309.9 12 55
