 Location:  2N  95W  16 Nov 1992 to 10 Jul 2013 ( 7542 times, 26 blocks) Gen. Date Nov 23 2013
 Units: Sea Surface Temperature (C), -9.99 = missing
 Time: 1200 16 Nov 1992 to 1200 21 Aug 1993 (index     1 to   279,  279 times)
 Depth (M):        1 QUALITY SOURCE
 YYYYMMDD HHMM   SST Q S
 19950131 1200 27.75 2 5
 19950201 1200 27.87 2 5
 19950202 1200 27.81 2 5
 19950203 1200 27.58 2 5
 19950204 1200 27.81 2 5
 19950205 1200 28.26 2 5
 19950206 1200 28.52 2 5
 19950207 1200 28.55 2 5
 19950208 1200 28.70 2 5
 19950209 1200 28.52 2 5
 19950210 1200 28.55 2 5
 19950211 1200 28.35 2 5
 19950212 1200 28.19 2 5
 19950213 1200 -9.99 0 0
 19950214 1200 -9.99 0 0
 19950215 1200 25.45 2 1
 19950216 1200 26.01 2 1
 19950217 1200 26.94 2 1
 19950218 1200 25.94 2 1
 19950219 1200 27.29 2 1
 19950220 1200 27.87 2 1
 19950221 1200 28.23 2 1
 19950222 1200 28.20 2 1
 19950223 1200 27.60 2 1
 19950224 1200 27.59 2 1
 19950225 1200 27.59 2 1
 19950226 1200 27.04 2 1
 19950227 1200 26.21 2 1
 19950228 1200 26.33 2 1
 19950301 1200 26.15 2 1
 19950302 1200 25.77 2 1
 19950303 1200 25.66 2 1
 19950304 1200 25.77 2 1
 19950305 1200 -9.99 0 0
 19950306 1200 26.50 2 1
 19950307 1200 26.41 2 1
 19950308 1200 27.64 2 1
 19950309 1200 28.35 2 1
 19950310 1200 28.76 2 1
 19950311 1200 28.76 2 1
 19950312 1200 28.72 2 1
 19950313 1200 28.55 2 1
 19950314 1200 28.64 2 1
 19950315 1200 28.79 2 1
 19950316 1200 28.92 2 1
 19950317 1200 29.06 2 1
 19950318 1200 28.94 2 1
 19950319 1200 28.18 2 1
 19950320 1200 27.57 2 1
 19950321 1200 27.49 2 1
 19950322 1200 28.41 2 1
 19950323 1200 28.75 2 1
 19950324 1200 28.83 2 1
 19950325 1200 29.10 2 1
 19950326 1200 29.22 2 1
 19950327 1200 28.69 2 1
 19950328 1200 28.95 2 1
 19950329 1200 28.47 2 1
 19950330 1200 26.23 2 1
 19950331 1200 25.14 2 1
 19950401 1200 24.89 2 1
 19950402 1200 24.75 2 1
 19950403 1200 25.79 2 1
 19950404 1200 27.32 2 1
 19950405 1200 28.33 2 1
 19950406 1200 28.22 2 1
 19950407 1200 27.94 2 1
 19950408 1200 27.68 2 1
 19950409 1200 27.78 2 1
 19950410 1200 28.19 2 1
 19950411 1200 28.93 2 1
 19950412 1200 29.21 2 1
 19950413 1200 29.11 2 1
 19950414 1200 29.09 2 1
 19950415 1200 28.64 2 1
 19950416 1200 28.04 2 1
 19950417 1200 26.70 2 1
 19950418 1200 25.73 2 1
 19950419 1200 24.67 2 1
 19950420 1200 23.92 2 1
 19950421 1200 23.69 2 1
 19950422 1200 24.39 2 1
 19950423 1200 25.84 2 1
 19950424 1200 26.16 2 1
 19950425 1200 24.81 2 1
 19950426 1200 24.03 2 1
 19950427 1200 23.70 2 1
 19950428 1200 23.61 2 1
 19950429 1200 23.76 2 1
 19950430 1200 24.34 2 1
 19950501 1200 -9.99 0 0
 19950502 1200 24.10 2 1
 19950503 1200 24.27 2 1
 19950504 1200 24.49 2 1
 19950505 1200 24.57 2 1
 19950506 1200 24.51 2 1
 19950507 1200 24.18 2 1
 19950508 1200 24.46 2 1
 19950509 1200 24.31 2 1
 19950510 1200 24.17 2 1
 19950511 1200 25.15 2 1
 19950512 1200 26.05 2 1
 19950513 1200 26.19 2 1
 19950514 1200 25.49 2 1
 19950515 1200 25.44 2 1
 19950516 1200 26.14 2 1
 19950517 1200 26.52 2 1
 19950518 1200 26.69 2 1
 19950519 1200 27.10 2 1
 Time: 1200 21 Aug 1995 to 1200 18 Oct 1995 (index  1009 to  1067,   59 times)
 Depth (M):        1 QUALITY SOURCE
 YYYYMMDD HHMM   SST Q S
 19950821 1200 25.99 1 1
 19950822 1200 26.02 1 1
 19950823 1200 26.12 1 1
 19950824 1200 26.11 1 1
 19950825 1200 25.76 1 1
 19950826 1200 25.57 1 1
 19950827 1200 25.48 1 1
 19950828 1200 25.13 1 1
 19950829 1200 25.14 1 1
 19950830 1200 25.17 1 1
 19950831 1200 25.32 1 1
 19950901 1200 25.74 1 1
 19950902 1200 25.92 1 1
 19950903 1200 25.86 1 1
 19950904 1200 25.54 1 1
 19950905 1200 25.28 1 1
 19950906 1200 25.14 1 1
 19950907 1200 24.84 1 1
 19950908 1200 24.66 1 1
 19950909 1200 24.89 1 1
 19950910 1200 24.90 1 1
 19950911 1200 24.79 1 1
 19950912 1200 24.92 1 1
 19950913 1200 25.03 1 1
 19950914 1200 24.95 1 1
 19950915 1200 24.73 1 1
 19950916 1200 24.31 1 1
 19950917 1200 24.08 1 1
 19950918 1200 24.75 1 1
 19950919 1200 25.09 1 1
 19950920 1200 25.23 1 1
 19950921 1200 25.55 1 1
 19950922 1200 -9.99 0 0
 19950923 1200 25.97 1 1
 19950924 1200 25.81 1 1
 19950925 1200 25.00 1 1
 19950926 1200 23.88 1 1
 19950927 1200 23.75 1 1
 19950928 1200 24.43 1 1
 19950929 1200 24.14 1 1
 19950930 1200 25.35 1 1
 19951001 1200 25.03 1 1
 19951002 1200 24.57 1 1
 19951003 1200 24.40 1 1
 19951004 1200 24.39 1 1
 19951005 1200 24.34 1 1
 19951006 1200 24.68 1 1
 19951007 1200 24.78 1 1
 19951008 1200 24.71 1 1
 19951009 1200 24.90 1 1
 19951010 1200 25.22 1 1
 19951011 1200 25.72 1 1
 19951012 1200 25.81 1 1
 19951013 1200 25.78 1 1
 19951014 1200 25.67 1 1
 19951015 1200 25.59 1 1
 19951016 1200 25.58 1 1
 19951017 1200 25.63 1 1
 19951018 1200 25.60 1 1
 Time: 1200 21 Dec 1995 to 1200 30 May 1996 (index  1131 to  1292,  162 times)
 Depth (M):        1 QUALITY SOURCE
 YYYYMMDD HHMM   SST Q S
 19951221 1200 25.51 1 1
 19951222 1200 24.98 1 1
 19951223 1200 24.46 1 1
 19951224 1200 25.05 1 1
 19951225 1200 25.39 1 1
 19951226 1200 25.49 1 1
 19951227 1200 25.53 1 1
 19951228 1200 25.55 1 1
 19951229 1200 25.53 1 1
 19951230 1200 25.65 1 1
 19951231 1200 25.80 1 1
 19960101 1200 25.87 1 1
 19960102 1200 25.84 1 1
 19960103 1200 25.83 1 1
 19960104 1200 25.94 1 1
 19960105 1200 26.10 1 1
 19960106 1200 26.11 1 1
