 Location:  2S 125W   5 Nov 1991 to 23 May 2012 ( 7506 times,  6 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200  5 Nov 1991 to 1200 26 Aug 1996 (index     1 to  1757, 1757 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19920614 1200  -5.4  -1.1   5.5 258.1 12 55
 19920615 1200  -5.0   0.3   5.0 274.0 12 55
 19920616 1200  -5.2   1.2   5.3 283.3 12 55
 19920617 1200  -6.2   1.0   6.3 279.5 12 55
 19920618 1200  -6.0   1.3   6.2 282.5 12 55
 19920619 1200  -5.1  -0.6   5.2 263.2 12 55
 19920620 1200  -6.4   0.5   6.4 274.9 12 55
 19920621 1200  -6.4  -0.1   6.4 268.6 12 55
 19920622 1200  -5.4  -0.5   5.4 265.1 12 55
 19920623 1200  -3.6   0.9   3.8 284.4 12 55
 19920624 1200  -4.7   3.4   5.8 306.1 12 55
 19920625 1200  -5.1   1.3   5.2 284.0 12 55
 19920626 1200  -6.4   0.8   6.5 276.6 12 55
 19920627 1200  -6.8   2.4   7.2 289.1 12 55
 19920628 1200  -5.8   4.3   7.2 306.5 12 55
 19920629 1200  -6.4   3.3   7.2 297.4 12 55
 19920630 1200  -4.5   1.1   4.7 283.8 12 55
 19920701 1200  -4.2   1.9   4.6 293.7 12 55
 19920702 1200  -4.2   0.8   4.2 280.4 12 55
 19920703 1200  -4.6  -1.1   4.7 256.1 12 55
 19920704 1200  -4.0   0.7   4.0 280.0 12 55
 19920705 1200  -4.1   0.6   4.2 277.9 12 55
 19920706 1200  -5.0   1.8   5.3 289.4 12 55
 19920707 1200  -5.7   1.1   5.8 281.1 12 55
 19920708 1200  -7.0   0.9   7.1 277.7 12 55
 19920709 1200  -7.1  -1.3   7.2 259.3 12 55
 19920710 1200  -6.0  -2.0   6.3 251.6 12 55
 19920711 1200  -3.6  -2.1   4.2 240.6 12 55
 19920712 1200  -4.7   1.2   4.8 283.9 12 55
 19920713 1200  -6.0  -1.6   6.2 255.0 12 55
 19920714 1200  -6.8  -0.3   6.8 267.3 12 55
 19920715 1200  -4.5   0.9   4.6 281.8 12 55
 19920716 1200  -5.3   1.4   5.5 284.2 12 55
 19920717 1200  -6.1   0.4   6.1 273.9 12 55
 19920718 1200  -6.5  -0.1   6.5 268.8 12 55
 19920719 1200  -7.2   1.6   7.4 282.8 12 55
 19920720 1200  -5.5   0.6   5.5 275.7 12 55
 19920721 1200  -6.3   1.2   6.4 280.7 12 55
 19920722 1200  -6.5  -0.1   6.5 268.8 12 55
 19920723 1200  -6.8   0.7   6.8 276.2 12 55
 19920724 1200  -6.8   0.5   6.8 274.0 12 55
 19920725 1200  -6.7   0.4   6.7 273.3 12 55
 19920726 1200  -6.9   1.1   7.0 278.7 12 55
 19920727 1200  -8.5  -0.2   8.5 268.6 12 55
 19920728 1200  -7.8   0.7   7.9 275.1 12 55
 19920729 1200  -8.6   0.9   8.7 276.2 12 55
 19920730 1200  -8.1   0.1   8.1 271.0 12 55
 19920731 1200  -7.1  -0.6   7.2 265.2 12 55
 19920801 1200  -4.8   1.3   5.0 285.1 12 55
 19920802 1200  -4.2   1.6   4.5 291.2 12 55
 19920803 1200  -3.9   0.8   4.0 282.0 12 55
 19920804 1200  -4.7   0.8   4.8 279.9 12 55
 19920805 1200  -4.8   0.8   4.8 279.9 12 55
 19920806 1200  -3.4   0.1   3.5 272.6 12 55
 19920807 1200  -2.4   2.0   3.1 309.5 12 55
 19920808 1200  -2.2   2.1   3.0 314.2 12 55
 19920809 1200  -4.1   1.2   4.3 286.4 12 55
 19920810 1200  -5.3   0.1   5.3 271.1 12 55
 19920811 1200  -4.2   0.7   4.2 279.0 12 55
 19920812 1200  -3.8   1.1   3.9 286.8 12 55
